,IDENTIDAD,SEÑALES,ANHELO ,CONDUCTA EN DURACION (MINUTOS),CONSECUENCIA
26/09/2024,1,1,1,2,1
27/09/2024,1,1,1,4,1
28/09/2024,0,1,0,4,1
29/09/2024,0,0,1,2,1
30/09/2024,1,1,1,10,1
01/10/2024,1,1,1,13,1
02/10/2024,1,1,0,15,0
03/10/2024,0,1,0,10,1
04/10/2024,1,1,0,12,1
05/10/2024,0,1,1,14,1
06/10/2024,1,1,1,20,1
07/10/2024,0,0,0,4,0
08/10/2024,1,1,1,18,1
09/10/2024,1,1,1,22,1
10/10/2024,0,1,1,17,1
11/10/2024,1,1,1,23,1
12/10/2024,0,0,1,5,0
13/10/2024,0,0,0,2,0
14/10/2024,1,1,1,15,1
15/10/2024,1,1,1,27,1
16/10/2024,1,1,1,30,1
17/10/2024,1,1,1,34,1
18/10/2024,0,1,1,38,1
19/10/2024,1,0,1,32,1
20/10/2024,0,1,1,33,1
21/10/2024,1,0,0,30,0
22/10/2024,1,0,0,27,1
23/10/2024,0,1,1,34,1
24/10/2024,1,1,1,38,1
25/10/2024,0,0,1,35,1
26/10/2024,1,1,1,40,1
